row_id,mRID,length,Location mRID,PositionPoints
1,bf6eca39-d103-4038-9066-ee129519ac28,336.3215315,cafacefe-194e-482d-857b-9d03b698e525,"MultiLineString ((143.53144294300000183 -38.33506284499998173, 143.53149020099999689 -38.33535028500000408, 143.53151218999994398 -38.33545097299997906, 143.5315881569999874 -38.33573608699998658, 143.53163296299999274 -38.33600447100002384, 143.53172234"
2,9652d0af-8525-4aae-b766-b72ffaaae41b,385.8592442,d1cf66c5-69fd-49c0-bb4f-1bd3c5751315,"MultiLineString ((143.54492038499995488 -38.33459580599998162, 143.54481676900002185 -38.33487243399997624, 143.54481083400003172 -38.33501793499999621, 143.54480256900001223 -38.33587163099997497, 143.54471536999994896 -38.33608484500001623, 143.5445508"
3,4d2945e0-9607-4088-b0be-b603a548bbc9,480.3117176,89f24523-bfbf-452e-812b-17d6dba06686,"MultiLineString ((143.54694062199996551 -38.33469048000000612, 143.54693808599995464 -38.33492640700001175, 143.54696736100004273 -38.33522059699998863, 143.54702162499995666 -38.33532838200000015, 143.54710164100004022 -38.33541044899999406, 143.5482105"
4,f303615c-5972-4730-99b2-6de78457138c,254.7068119,ad65d99e-d366-4610-8e32-82a241d005b1,"MultiLineString ((143.53892285599999923 -38.33449210700001686, 143.53932435599995188 -38.33676480799999808))"
5,1c485032-584b-4420-89ac-b6fa8f7399bd,210.3068757,d37d4529-4a9e-4146-bf1f-265ce1af7016,"MultiLineString ((143.52630909499998779 -38.33547029599998268, 143.52870338800005356 -38.33528839199999538))"
6,91f4527b-50ab-4173-9eb1-c461693e8ced,240.8274832,6b2be5cf-a96e-4492-8a8c-66cbaf235fc4,"MultiLineString ((143.52870338800005356 -38.33528839199999538, 143.53144294300000183 -38.33506284499998173))"
7,d081d386-d2ef-44ce-abe3-f139a3bb01be,554.9736322,6a8f235c-87f1-4659-8f1b-f965980b7d18,"MultiLineString ((143.54694062199996551 -38.33469048000000612, 143.55089573899999777 -38.33487573000002158, 143.55157331800000975 -38.33493968800001994, 143.55224495899994963 -38.33499313999999458, 143.55325994400004674 -38.33512121899997283))"
8,83d1efc4-b831-47ed-9328-eb4bd0cb436e,137.7598056,74be475d-6412-408b-a0e5-855f8cae1f73,"MultiLineString ((143.55325994400004674 -38.33512121899997283, 143.55321624999999131 -38.33498741099998597, 143.55303317400000651 -38.33477682900002037, 143.55232942199995705 -38.33413552799999025))"
9,c545e88d-5253-43f5-bb6f-de1a288716af,296.1877512,11b237d0-8740-48c8-9d3e-657a00b083e8,"MultiLineString ((143.53144294300000183 -38.33506284499998173, 143.531952423000007 -38.335027513, 143.53281440199998542 -38.33496435199998587, 143.53374684599998545 -38.33488363399999344, 143.53481476100000691 -38.33480607400002782))"
10,b04f43d7-fda9-4a6d-b09d-122142c171d1,58.27380969,92334136-11ec-4c72-8bd6-de3e44511813,"MultiLineString ((143.53481476100000691 -38.33480607400002782, 143.53547815399997489 -38.33475538699997287))"
