row_id,mRID,length,Locat.mrid,PositionPoints
1,bf6eca39-d103-4038-9066-ee129519ac28,336.3215315,cafacefe-194e-482d-857b-9d03b698e525,"MULTILINESTRING ((143.531442943 -38.335062845,143.531490201 -38.335350285,143.53151219 -38.335450973,143.531588157 -38.335736087,143.531632963 -38.336004471,143.531722345 -38.336314774,143.531824844 -38.336535887,143.531974162 -38.336754452,143.532115286 -38.336960494,143.532328209 -38.33718038,143.532526958 -38.337402211,143.532629129 -38.337605761,143.532733104 -38.337866197))"
2,9652d0af-8525-4aae-b766-b72ffaaae41b,385.8592442,d1cf66c5-69fd-49c0-bb4f-1bd3c5751315,"MULTILINESTRING ((143.544920385 -38.334595806,143.544816769 -38.334872434,143.544810834 -38.335017935,143.544802569 -38.335871631,143.54471537 -38.336084845,143.544550824 -38.336377279,143.544381302 -38.336551881,143.544341614 -38.336670805,143.544397014 -38.337561248,143.544473906 -38.337665225,143.544589494 -38.337754938,143.544764356 -38.337840456))"
3,4d2945e0-9607-4088-b0be-b603a548bbc9,480.3117176,89f24523-bfbf-452e-812b-17d6dba06686,"MULTILINESTRING ((143.546940622 -38.33469048,143.546938086 -38.334926407,143.546967361 -38.335220597,143.547021625 -38.335328382,143.547101641 -38.335410449,143.548210581 -38.336140016,143.548275178 -38.336215781,143.548167574 -38.337056211,143.548112248 -38.337454985,143.548056588 -38.337520125,143.547966481 -38.337557303,143.546770156 -38.337526087))"
4,f303615c-5972-4730-99b2-6de78457138c,254.7068119,ad65d99e-d366-4610-8e32-82a241d005b1,"MULTILINESTRING ((143.538922856 -38.334492107,143.539324356 -38.336764808))"
5,1c485032-584b-4420-89ac-b6fa8f7399bd,210.3068757,d37d4529-4a9e-4146-bf1f-265ce1af7016,"MULTILINESTRING ((143.526309095 -38.335470296,143.528703388 -38.335288392))"
6,91f4527b-50ab-4173-9eb1-c461693e8ced,240.8274832,6b2be5cf-a96e-4492-8a8c-66cbaf235fc4,"MULTILINESTRING ((143.528703388 -38.335288392,143.531442943 -38.335062845))"
7,d081d386-d2ef-44ce-abe3-f139a3bb01be,554.9736322,6a8f235c-87f1-4659-8f1b-f965980b7d18,"MULTILINESTRING ((143.546940622 -38.33469048,143.550895739 -38.33487573,143.551573318 -38.334939688,143.552244959 -38.33499314,143.553259944 -38.335121219))"
8,83d1efc4-b831-47ed-9328-eb4bd0cb436e,137.7598056,74be475d-6412-408b-a0e5-855f8cae1f73,"MULTILINESTRING ((143.553259944 -38.335121219,143.55321625 -38.334987411,143.553033174 -38.334776829,143.552329422 -38.334135528))"
9,c545e88d-5253-43f5-bb6f-de1a288716af,296.1877512,11b237d0-8740-48c8-9d3e-657a00b083e8,"MULTILINESTRING ((143.531442943 -38.335062845,143.531952423 -38.335027513,143.532814402 -38.334964352,143.533746846 -38.334883634,143.534814761 -38.334806074))"
10,b04f43d7-fda9-4a6d-b09d-122142c171d1,58.27380969,92334136-11ec-4c72-8bd6-de3e44511813,"MULTILINESTRING ((143.534814761 -38.334806074,143.535478154 -38.334755387))"
11,63a7e9b2-27a7-445e-8050-324c898784a2,366.8150761,b7443ea4-aea1-4e45-9135-41e80915e4f5,"MULTILINESTRING ((143.534814761 -38.334806074,143.534102679 -38.332317178,143.533908556 -38.331579616))"
