row_id,mRID,main_address,Location.xPosition,Location.yPosition,Class
1,88215958-48e4-40af-b479-289db7a8dd83,MEREDITH PARK ROAD COLAC 3250,143.6099338,-38.26869726,EnergyConsumer
2,a4beeaca-b597-4145-834e-68779115300d,38 BALNAGOWAN AVENUE COLAC 3250,143.5709312,-38.3283574,EnergyConsumer
3,457ece78-4532-47c2-bdc0-8513d4ac9727,4 ALEXANDER STREET COLAC 3250,143.574304,-38.33015844,EnergyConsumer
4,4e55787f-4365-4130-9ab0-b24d769a9b55,4A ALEXANDER STREET COLAC 3250,143.5742566,-38.33006262,EnergyConsumer
5,a69cc022-80f2-43dd-bd05-25a070aa353e,2A ALEXANDER STREET COLAC 3250,143.5742091,-38.32996655,EnergyConsumer
6,51fa641b-24fa-4a7e-9b0a-82341958a1bc,2 ALEXANDER STREET COLAC 3250,143.5742091,-38.32996655,EnergyConsumer
7,c9cfb84d-74e9-407e-a07e-cca57d2d4e8e,2 ALEXANDER STREET COLAC 3250,143.5742091,-38.32996655,EnergyConsumer
8,d8abfe67-6cc5-4a67-93bd-102d382255b1,ALEXANDER STREET COLAC 3250,143.5741512,-38.32984942,EnergyConsumer
9,28e455e1-d979-42fc-a46a-ff839096edee,3 ALEXANDER STREET COLAC 3250,143.5738452,-38.33012646,EnergyConsumer
10,3f7ef384-ed8e-43e7-a70e-6c40c80194b9,1 STODART STREET COLAC 3250,143.5739991,-38.32953672,EnergyConsumer
11,356d9111-9021-48da-bf78-73d7b144c356,1 ALEXANDER STREET COLAC 3250,143.5737385,-38.32991102,EnergyConsumer
12,fea75711-cca9-447e-8d76-cf35ed220e9b,6 SINCLAIR STREET COLAC 3250,143.5733176,-38.33022134,EnergyConsumer
13,f1117fec-e866-4480-ba85-9e6a18330271,2 SINCLAIR STREET COLAC 3250,143.5734419,-38.32991933,EnergyConsumer
14,4e8603a4-b0ad-4290-a54c-a9b5eba6dc6c,2 BALNAGOWAN AVENUE COLAC 3250,143.5736838,-38.32930958,EnergyConsumer
