row_id,EnergyCons,name,Locat.mrid,Location.x,Location.y,p,q,p_fixed,q_fixed
1,88215958-48e4-40af-b479-289db7a8dd83,MEREDITH PARK ROAD COLAC 3250,0d9193f5-c961-4fb1-b73d-604ab55b2219,143.609933830000045,-38.268697260000010,"0","0","0","0"
2,a4beeaca-b597-4145-834e-68779115300d,38 BALNAGOWAN AVENUE COLAC 3250,a406b5ed-816b-4fcf-8fb2-4e863eea974d,143.570931220000034,-38.328357400000016,"0","0","0","0"
3,457ece78-4532-47c2-bdc0-8513d4ac9727,4 ALEXANDER STREET COLAC 3250,ff15c5a4-a33b-4ea4-8a79-67a98ab0b8f8,143.574304030000008,-38.330158439999991,"0","0","0","0"
4,4e55787f-4365-4130-9ab0-b24d769a9b55,4A ALEXANDER STREET COLAC 3250,f106271f-8735-44ec-9b4d-73836975e97a,143.574256610000020,-38.330062619999978,"0","0","0","0"
5,a69cc022-80f2-43dd-bd05-25a070aa353e,2A ALEXANDER STREET COLAC 3250,5fb858ce-58a1-453a-8208-a015bbe51447,143.574209139999994,-38.329966549999995,"0","0","0","0"
6,51fa641b-24fa-4a7e-9b0a-82341958a1bc,2 ALEXANDER STREET COLAC 3250,beb8c61f-2983-4ffc-82b1-343da11cbb8c,143.574209139999994,-38.329966549999995,"0","0","0","0"
7,c9cfb84d-74e9-407e-a07e-cca57d2d4e8e,2 ALEXANDER STREET COLAC 3250,29b63899-580d-4145-bae3-9db5c9b137f4,143.574209139999994,-38.329966549999995,"0","0","0","0"
8,d8abfe67-6cc5-4a67-93bd-102d382255b1,ALEXANDER STREET COLAC 3250,4abacf4c-22c6-4a41-ab63-1db595b5eb88,143.574151179999944,-38.329849420000016,"0","0","0","0"
9,28e455e1-d979-42fc-a46a-ff839096edee,3 ALEXANDER STREET COLAC 3250,be288613-027a-4c9f-ab8c-ca094cf4582b,143.573845190000043,-38.330126459999974,"0","0","0","0"
10,3f7ef384-ed8e-43e7-a70e-6c40c80194b9,1 STODART STREET COLAC 3250,91df3ffc-97bf-42a9-8125-4ada95d0df1b,143.573999090000029,-38.329536720000021,"0","0","0","0"
11,356d9111-9021-48da-bf78-73d7b144c356,1 ALEXANDER STREET COLAC 3250,86126c3b-94b6-4e98-9c82-444391108df5,143.573738540000022,-38.329911019999997,"0","0","0","0"
12,fea75711-cca9-447e-8d76-cf35ed220e9b,6 SINCLAIR STREET COLAC 3250,66c724f3-d104-4a92-a17b-a029e34d42b0,143.573317599999996,-38.330221339999980,"0","0","0","0"
13,f1117fec-e866-4480-ba85-9e6a18330271,2 SINCLAIR STREET COLAC 3250,50231e77-4ebd-4201-9335-5f805b352a2c,143.573441890000026,-38.329919329999996,"0","0","0","0"
14,4e8603a4-b0ad-4290-a54c-a9b5eba6dc6c,2 BALNAGOWAN AVENUE COLAC 3250,7ff97def-9ddd-402b-8b9f-026c4bd37476,143.573683780000010,-38.329309579999972,"0","0","0","0"
15,5755c16c-ac02-49ce-87a6-b8eebaba86ad,4 BALNAGOWAN AVENUE COLAC 3250,d3f87d01-a622-4e11-b097-0e4dcef8d3d7,143.573661669999979,-38.329079999999976,"0","0","0","0"
16,3d41dc94-ce58-4660-b2d4-6bd3c3f73fc4,3 SINCLAIR STREET COLAC 3250,a842b376-5cdd-4472-905f-3f799fde0b94,143.572974300000055,-38.330181999999979,"0","0","0","0"
17,db4f667d-6419-4a8e-8321-0d3fffdd2a45,1 SINCLAIR STREET COLAC 3250,870d4ab5-52a7-461f-8830-328a3280a373,143.573005240000043,-38.330018259999974,"0","0","0","0"
18,4f15df1d-b334-4d96-a938-fe496a44a604,10 STODART STREET COLAC 3250,061ee9e5-3cfa-425b-acd9-bf90185bb271,143.573030659999972,-38.329754429999980,"0","0","0","0"
19,0e495511-3642-44d1-b44d-55fe35d29cdb,6 BALNAGOWAN AVENUE COLAC 3250,c3998ad1-5ef5-4c78-b066-847b0d2fc1d8,143.573447330000022,-38.328852559999973,"0","0","0","0"
20,bd3d727f-c509-4576-82cb-e1f7a1f22dc5,12 STODART STREET COLAC 3250,eddc9972-cc38-4ca0-ab33-d038f62c0126,143.572832569999946,-38.329731499999980,"0","0","0","0"
21,ec45fbf8-2e40-4efc-94ed-633d0917697f,10 BALNAGOWAN AVENUE COLAC 3250,4cbf41b4-af77-4700-8ce9-3ecb75e201af,143.573307750000026,-38.328658759999996,"0","0","0","0"
22,eda58f30-7b09-46a9-bc95-a734f11b7175,12 BALNAGOWAN AVENUE COLAC 3250,879e173c-c152-4074-ad94-753e41069469,143.573336629999972,-38.328480360000015,"0","0","0","0"
23,37da4de3-0a5d-481e-b2f9-e873c567c654,14 STODART STREET COLAC 3250,ede3d754-7f07-46cb-b1a5-5799a53a6045,143.572591149999994,-38.329703559999984,"0","0","0","0"
24,ef60983c-7cba-4589-8dd1-fe7df59b030a,14 BALNAGOWAN AVENUE COLAC 3250,c0caa72a-66f9-43da-9e14-a2ceb4c1ef12,143.573360999999977,-38.328259619999983,"0","0","0","0"
25,0f0a65d6-26f6-43fd-9f3f-e6c6e2cd250a,11/17 BALNAGOWAN AVENUE COLAC 3250,db1b06b9-4005-4124-bdf4-00fb0c11f9bb,143.573006960000043,-38.328847734000021,"0","0","0","0"
26,ee9d8e77-4002-46bb-9875-6036acb9e3f5,4/17 BALNAGOWAN AVENUE COLAC 3250,9d2f8c98-d587-4598-b77e-402b5b3cd7e4,143.573006960000043,-38.328847734000021,"0","0","0","0"
27,526d631d-ced9-4baf-9e5b-92de511ecf0b,8/17 BALNAGOWAN AVENUE COLAC 3250,51ff8e2c-7024-4d4b-bf84-fea269960ce0,143.573006960000043,-38.328847734000021,"0","0","0","0"
28,25b9613b-9022-4fa2-b035-eba0fcbfbf6c,9/17 BALNAGOWAN AVENUE COLAC 3250,4cba429d-618f-448a-bd06-5d96dfd613ab,143.573006960000043,-38.328847734000021,"0","0","0","0"
29,d8cd874e-02ae-443b-8311-509cf5e94a3f,7/17 BALNAGOWAN AVENUE COLAC 3250,4f5c6e82-5f4a-42c2-af3c-09c98224efb2,143.573006960000043,-38.328847734000021,"0","0","0","0"
30,7a95c84e-fecb-46f8-a0b1-e3ff74576b4a,5/17 BALNAGOWAN AVENUE COLAC 3250,c9ba2e18-c685-467b-8e8b-20e5af6f134b,143.573006960000043,-38.328847734000021,"0","0","0","0"
31,c06d14e9-cc90-4043-8be4-595ff7c92844,3/17 BALNAGOWAN AVENUE COLAC 3250,0dbf5a06-4020-44fa-8e38-1bae1801baba,143.573006960000043,-38.328847734000021,"0","0","0","0"
32,d4d6924b-1ee6-4751-83a1-0e5214b32e14,17 BALNAGOWAN AVENUE COLAC 3250,066c0d30-874c-4457-8df8-6f23891e86c3,143.572571270000026,-38.329372320000004,"0","0","0","0"
33,abd5c849-450e-4deb-a17a-2bf6cda7a794,12/17 BALNAGOWAN AVENUE COLAC 3250,aa73130b-4e69-4157-b106-482b1f503eb2,143.572571270000026,-38.329372320000004,"0","0","0","0"
34,bf79c271-4553-4f4a-9b29-e10965b95d0e,17 BALNAGOWAN AVENUE COLAC 3250,38051b80-328b-45bf-9070-a765d6f159b5,143.572571270000026,-38.329372320000004,"0","0","0","0"
35,5ae67aaa-da9d-47be-878a-afc65c181d0f,16 STODART STREET COLAC 3250,b08803a0-0d1d-4a64-95eb-9880ba784777,143.572386899999970,-38.329679929999998,"0","0","0","0"
36,ee2edaa7-3862-4213-a7d9-73ab660a2105,16 BALNAGOWAN AVENUE COLAC 3250,00c9ef32-ac2c-47d3-a71f-965dc051b8e6,143.573319220000030,-38.327987360000009,"0","0","0","0"
37,5e375e90-f410-4423-ac8c-700cd5d55d4e,18A BALNAGOWAN AVENUE COLAC 3250,8dc6a7e5-819d-4a0d-8618-5c7e02c6c322,143.572838049999973,-38.327994610000019,"0","0","0","0"
38,c5950c9d-cf30-4f92-9103-62f02ac0060a,18 BALNAGOWAN AVENUE COLAC 3250,f971fc16-ce1f-4912-9923-38fc4eeb182f,143.572838049999973,-38.327994610000019,"0","0","0","0"
39,d81e574e-49fc-46af-9441-1170f63dd2e4,18 BALNAGOWAN AVENUE COLAC 3250,7fb99976-0400-4f00-8cfe-9b6fd4715601,143.572838049999973,-38.327994610000019,"0","0","0","0"
40,625d1769-5a31-474b-9e31-fdf17328b41b,20 BALNAGOWAN AVENUE COLAC 3250,fab0445f-4dd5-4b92-8f95-004f65d8517f,143.572596620000013,-38.327961650000020,"0","0","0","0"
41,dc97c952-7db3-4014-b549-7cc7d883b2d8,22 BALNAGOWAN AVENUE COLAC 3250,04abdf73-eb54-4f75-97a3-6a4ae27c7a20,143.572416579999981,-38.327945189999980,"0","0","0","0"
42,1b889f2c-1236-4c07-900f-92e96a5d5ad7,24 BALNAGOWAN AVENUE COLAC 3250,0770f0eb-548e-4aeb-8418-e93a5fd3cfa5,143.572197319999987,-38.327919479999991,"0","0","0","0"
43,d8b08829-9b4a-4ab8-9596-defad6e9682e,52 BALNAGOWAN AVENUE COLAC 3250,462fc8bf-440e-48e7-aa03-8bad8cb6f52f,143.571625990000030,-38.328748920000010,"0","0","0","0"
44,d9066d23-2e82-4188-b738-60f9cc07d823,60 BALNAGOWAN AVENUE COLAC 3250,8394d6f5-e418-41c2-a39e-c05c5f122c2d,143.571855580000033,-38.328218230000004,"0","0","0","0"
45,ff5e82ff-8d74-4514-8d4c-a50a4f42a9e8,54 BALNAGOWAN AVENUE COLAC 3250,a27be3b5-44ad-4f60-b5e7-a5c939641ade,143.571609129999956,-38.328567650000025,"0","0","0","0"
46,88b15469-d444-4ca1-beeb-902e892986e1,26 BALNAGOWAN AVENUE COLAC 3250,d859758a-0e59-4237-b03e-016708a6bbab,143.571969190000004,-38.327902349999988,"0","0","0","0"
47,fbec45da-c953-420f-ac0a-ab993d187186,50 BALNAGOWAN AVENUE COLAC 3250,af184ab5-99a6-40d9-aec9-91910cbc1b7e,143.571415659999957,-38.328843730000017,"0","0","0","0"
48,742f761a-b3cd-44dd-8b4d-61885a66c549,58 BALNAGOWAN AVENUE COLAC 3250,0eb03102-6dc6-4ee7-acae-f4783b9dfd1d,143.571627079999985,-38.328333929999985,"0","0","0","0"
49,a75eecd6-cab5-47a0-819c-810262c4d1a1,28 BALNAGOWAN AVENUE COLAC 3250,018e1961-889b-4b26-b7a0-e053059ee67b,143.571754609999971,-38.327944979999984,"0","0","0","0"
50,1d845606-1796-4246-bd44-53e7f83c469c,56 BALNAGOWAN AVENUE COLAC 3250,6d8d7045-ce41-4a4b-88d2-5d651bf5e622,143.571382380000045,-38.328463399999976,"0","0","0","0"
51,8a775185-d86a-4500-b07f-0cf05bb15975,30 BALNAGOWAN AVENUE COLAC 3250,db582c57-54dd-4c27-b82c-3a98b7f4577e,143.571560230000046,-38.328038300000003,"0","0","0","0"
52,58e8940b-2e6b-47ea-b48b-8c129e3cc1ec,32 BALNAGOWAN AVENUE COLAC 3250,28591ff0-7979-40e5-a47c-e33beeab7303,143.571347919999994,-38.328129009999998,"0","0","0","0"
53,6a4d6835-8f24-497f-ac04-1da8655bf155,34 BALNAGOWAN AVENUE COLAC 3250,2798efa9-99d4-4737-9388-5fa0eb600beb,143.571166510000012,-38.328221770000027,"0","0","0","0"
54,e3465937-8572-4015-8aae-2530d6d87728,36 BALNAGOWAN AVENUE COLAC 3250,a60ac53a-ad64-4901-8701-af8a5e18f045,143.571051760000046,-38.328296249999994,"0","0","0","0"
55,b41c4ba4-8fe8-428d-84a1-25c5f13f81e1,1 HANDLEY COURT COLAC 3250,925b121c-5963-43df-b561-8db304462db7,143.571501850000004,-38.330333250000024,"0","0","0","0"
56,3b16622b-0b44-4e93-bc5c-076723ec8322,12 BILSON STREET COLAC 3250,a69f83eb-b41b-42c8-924b-e097d15c3688,143.569977220000055,-38.330290260000027,"0","0","0","0"
57,ffee5d77-7ca4-4e26-ad8b-8a3e77b9d65f,5 DONALDSON STREET COLAC 3250,dbeb1ad4-17d4-4031-99f2-f468338bb210,143.571858310000039,-38.330253860000028,"0","0","0","0"
