Street name,class,Lat,Lon,GlobalID,OBJECTID,baseVoltag
61 SINCLAIR STREET COLAC 3250,EnergyConsumer,-38.33612669,143.5718658,serv5534,534,415V
59 SINCLAIR STREET COLAC 3250,EnergyConsumer,-38.3359808,143.5718931,serv5536,536,415V
1 PARKER AVENUE COLAC 3250,EnergyConsumer,-38.3362348,143.5713016,serv5544,544,415V
3 PARKER AVENUE COLAC 3250,EnergyConsumer,-38.33621045,143.5710937,serv5548,548,415V
5 PARKER AVENUE COLAC 3250,EnergyConsumer,-38.33619092,143.5709233,serv5551,551,415V
1 ADRIAN STREET COLAC 3250,EnergyConsumer,-38.33647175,143.5732766,serv5659,659,415V
1/371 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33735461,143.5727433,serv5660,660,415V
4/371 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33704056,143.5729165,serv5661,661,415V
2/371 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33723567,143.5727781,serv5663,663,415V
4 ADRIAN STREET COLAC 3250,EnergyConsumer,-38.33672206,143.5730327,serv5665,665,415V
3/371 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33713152,143.5727866,serv5666,666,415V
373 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33732148,143.572562,serv5668,668,415V
3 ADRIAN STREET COLAC 3250,EnergyConsumer,-38.33644068,143.5730701,serv5670,670,415V
6 ADRIAN STREET COLAC 3250,EnergyConsumer,-38.33669816,143.572818,serv5674,674,415V
5 ADRIAN STREET COLAC 3250,EnergyConsumer,-38.3364092,143.5728608,serv5677,677,415V
375 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33727453,143.5723436,serv5678,678,415V
8 ADRIAN STREET COLAC 3250,EnergyConsumer,-38.33666642,143.5726135,serv5681,681,415V
7 ADRIAN STREET COLAC 3250,EnergyConsumer,-38.33638205,143.5726858,serv5684,684,415V
377 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33723407,143.5721206,serv5685,685,415V
68A SINCLAIR STREET COLAC 3250,EnergyConsumer,-38.33679906,143.5722769,serv5688,688,415V
66 SINCLAIR STREET COLAC 3250,EnergyConsumer,-38.33679906,143.5722769,serv5689,689,415V
66 SINCLAIR STREET COLAC 3250,EnergyConsumer,-38.33678323,143.5721664,serv5693,693,415V
64 SINCLAIR STREET COLAC 3250,EnergyConsumer,-38.3366005,143.572206,serv5695,695,415V
62 SINCLAIR STREET COLAC 3250,EnergyConsumer,-38.33631363,143.5722567,serv5696,696,415V
60 SINCLAIR STREET COLAC 3250,EnergyConsumer,-38.33616031,143.5722844,serv5699,699,415V
58 SINCLAIR STREET COLAC 3250,EnergyConsumer,-38.33599367,143.5723146,serv5700,700,415V
67 SINCLAIR STREET COLAC 3250,EnergyConsumer,-38.33673602,143.5717548,serv5702,702,415V
65 SINCLAIR STREET COLAC 3250,EnergyConsumer,-38.33659635,143.5717815,serv5704,704,415V
63 SINCLAIR STREET COLAC 3250,EnergyConsumer,-38.33625736,143.5718523,serv5707,707,415V
3/34 ARMSTRONG STREET COLAC 3250,EnergyConsumer,-38.33748111,143.5770551,serv5708,708,415V
1/58 SKENE STREET COLAC 3250,EnergyConsumer,-38.33740487,143.5770855,serv5709,709,415V
SKENE STREET COLAC 3250,EnergyConsumer,-38.33740487,143.5770855,serv5710,710,415V
39 ARMSTRONG STREET COLAC 3250,EnergyConsumer,-38.33729153,143.576556,serv5711,711,415V
37 ARMSTRONG STREET COLAC 3250,EnergyConsumer,-38.3371546,143.5765704,serv5712,712,415V
35 ARMSTRONG STREET COLAC 3250,EnergyConsumer,-38.33697013,143.5766156,serv5713,713,415V
32 ARMSTRONG STREET COLAC 3250,EnergyConsumer,-38.33696121,143.577151,serv5714,714,415V
33 ARMSTRONG STREET COLAC 3250,EnergyConsumer,-38.33680575,143.5766461,serv5715,715,415V
30 ARMSTRONG STREET COLAC 3250,EnergyConsumer,-38.33678191,143.5771844,serv5716,716,415V
31 ARMSTRONG STREET COLAC 3250,EnergyConsumer,-38.33664136,143.5766766,serv5717,717,415V
28 ARMSTRONG STREET COLAC 3250,EnergyConsumer,-38.33664007,143.5772108,serv5718,718,415V
28 MCDONALD STREET COLAC 3250,EnergyConsumer,-38.33655369,143.5757069,serv5719,719,415V
2/24-26 ARMSTRONG STREET COLAC 3250,EnergyConsumer,-38.33648346,143.5773776,serv5720,720,415V
29 ARMSTRONG STREET COLAC 3250,EnergyConsumer,-38.33647699,143.576707,serv5721,721,415V
24-26 ARMSTRONG STREET COLAC 3250,EnergyConsumer,-38.33643258,143.5772495,serv5722,722,415V
ARMSTRONG STREET COLAC 3250,EnergyConsumer,-38.33643258,143.5772495,serv5723,723,415V
1/24-26 ARMSTRONG STREET COLAC 3250,EnergyConsumer,-38.33641557,143.5773902,serv5724,724,415V
26 MCDONALD STREET COLAC 3250,EnergyConsumer,-38.33636606,143.5757499,serv5725,725,415V
27 ARMSTRONG STREET COLAC 3250,EnergyConsumer,-38.33631259,143.5767375,serv5726,726,415V
22 ARMSTRONG STREET COLAC 3250,EnergyConsumer,-38.33622683,143.5772834,serv5727,727,415V
24 MCDONALD STREET COLAC 3250,EnergyConsumer,-38.33621943,143.5757676,serv5728,728,415V
19 MCDONALD STREET COLAC 3250,EnergyConsumer,-38.33617158,143.5753685,serv5729,729,415V
25 ARMSTRONG STREET COLAC 3250,EnergyConsumer,-38.33614821,143.576768,serv5730,730,415V
34 LIGAR STREET COLAC 3250,EnergyConsumer,-38.33607591,143.5778419,serv5731,731,415V
444 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33756067,143.5716376,serv5757,757,415V
446 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33753847,143.5714872,serv5758,758,415V
448 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33749133,143.5712774,serv5759,759,415V
450 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33745536,143.5710906,serv5760,760,415V
452 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33742599,143.5709394,serv5761,761,415V
454 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33734806,143.5705333,serv5763,763,415V
458 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33731034,143.5703397,serv5764,764,415V
460 MURRAY STREET COLAC 3250,EnergyConsumer,-38.3372769,143.5701655,serv5765,765,415V
379 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33714592,143.5716734,serv5772,772,415V
381 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33710053,143.5714428,serv5775,775,415V
383 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33705445,143.5712088,serv5776,776,415V
385 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33700835,143.5709747,serv5777,777,415V
387 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33696174,143.5707379,serv5778,778,415V
389 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33691584,143.5705048,serv5779,779,415V
