row_id,EnergyConsumer.mRID,name,Location.xPosition,Location.yPosition,p,q,p_fixed,q_fixed
1,88215958-48e4-40af-b479-289db7a8dd83,MEREDITH PARK ROAD COLAC 3250,143.6099338,-38.26869726,0,0,0,0
2,a4beeaca-b597-4145-834e-68779115300d,38 BALNAGOWAN AVENUE COLAC 3250,143.5709312,-38.3283574,0,0,0,0
3,457ece78-4532-47c2-bdc0-8513d4ac9727,4 ALEXANDER STREET COLAC 3250,143.574304,-38.33015844,0,0,0,0
4,4e55787f-4365-4130-9ab0-b24d769a9b55,4A ALEXANDER STREET COLAC 3250,143.5742566,-38.33006262,0,0,0,0
5,a69cc022-80f2-43dd-bd05-25a070aa353e,2A ALEXANDER STREET COLAC 3250,143.5742091,-38.32996655,0,0,0,0
6,51fa641b-24fa-4a7e-9b0a-82341958a1bc,2 ALEXANDER STREET COLAC 3250,143.5742091,-38.32996655,0,0,0,0
7,c9cfb84d-74e9-407e-a07e-cca57d2d4e8e,2 ALEXANDER STREET COLAC 3250,143.5742091,-38.32996655,0,0,0,0
8,d8abfe67-6cc5-4a67-93bd-102d382255b1,ALEXANDER STREET COLAC 3250,143.5741512,-38.32984942,0,0,0,0
9,28e455e1-d979-42fc-a46a-ff839096edee,3 ALEXANDER STREET COLAC 3250,143.5738452,-38.33012646,0,0,0,0
10,3f7ef384-ed8e-43e7-a70e-6c40c80194b9,1 STODART STREET COLAC 3250,143.5739991,-38.32953672,0,0,0,0
11,356d9111-9021-48da-bf78-73d7b144c356,1 ALEXANDER STREET COLAC 3250,143.5737385,-38.32991102,0,0,0,0
12,fea75711-cca9-447e-8d76-cf35ed220e9b,6 SINCLAIR STREET COLAC 3250,143.5733176,-38.33022134,0,0,0,0
13,f1117fec-e866-4480-ba85-9e6a18330271,2 SINCLAIR STREET COLAC 3250,143.5734419,-38.32991933,0,0,0,0
14,4e8603a4-b0ad-4290-a54c-a9b5eba6dc6c,2 BALNAGOWAN AVENUE COLAC 3250,143.5736838,-38.32930958,0,0,0,0
15,5755c16c-ac02-49ce-87a6-b8eebaba86ad,4 BALNAGOWAN AVENUE COLAC 3250,143.5736617,-38.32908,0,0,0,0
16,3d41dc94-ce58-4660-b2d4-6bd3c3f73fc4,3 SINCLAIR STREET COLAC 3250,143.5729743,-38.330182,0,0,0,0
17,db4f667d-6419-4a8e-8321-0d3fffdd2a45,1 SINCLAIR STREET COLAC 3250,143.5730052,-38.33001826,0,0,0,0
18,4f15df1d-b334-4d96-a938-fe496a44a604,10 STODART STREET COLAC 3250,143.5730307,-38.32975443,0,0,0,0
19,0e495511-3642-44d1-b44d-55fe35d29cdb,6 BALNAGOWAN AVENUE COLAC 3250,143.5734473,-38.32885256,0,0,0,0
20,bd3d727f-c509-4576-82cb-e1f7a1f22dc5,12 STODART STREET COLAC 3250,143.5728326,-38.3297315,0,0,0,0
21,ec45fbf8-2e40-4efc-94ed-633d0917697f,10 BALNAGOWAN AVENUE COLAC 3250,143.5733078,-38.32865876,0,0,0,0
22,eda58f30-7b09-46a9-bc95-a734f11b7175,12 BALNAGOWAN AVENUE COLAC 3250,143.5733366,-38.32848036,0,0,0,0
23,37da4de3-0a5d-481e-b2f9-e873c567c654,14 STODART STREET COLAC 3250,143.5725912,-38.32970356,0,0,0,0
24,ef60983c-7cba-4589-8dd1-fe7df59b030a,14 BALNAGOWAN AVENUE COLAC 3250,143.573361,-38.32825962,0,0,0,0
25,0f0a65d6-26f6-43fd-9f3f-e6c6e2cd250a,11/17 BALNAGOWAN AVENUE COLAC 3250,143.573007,-38.32884773,0,0,0,0
26,ee9d8e77-4002-46bb-9875-6036acb9e3f5,4/17 BALNAGOWAN AVENUE COLAC 3250,143.573007,-38.32884773,0,0,0,0
27,526d631d-ced9-4baf-9e5b-92de511ecf0b,8/17 BALNAGOWAN AVENUE COLAC 3250,143.573007,-38.32884773,0,0,0,0
28,25b9613b-9022-4fa2-b035-eba0fcbfbf6c,9/17 BALNAGOWAN AVENUE COLAC 3250,143.573007,-38.32884773,0,0,0,0
29,d8cd874e-02ae-443b-8311-509cf5e94a3f,7/17 BALNAGOWAN AVENUE COLAC 3250,143.573007,-38.32884773,0,0,0,0
30,7a95c84e-fecb-46f8-a0b1-e3ff74576b4a,5/17 BALNAGOWAN AVENUE COLAC 3250,143.573007,-38.32884773,0,0,0,0
31,c06d14e9-cc90-4043-8be4-595ff7c92844,3/17 BALNAGOWAN AVENUE COLAC 3250,143.573007,-38.32884773,0,0,0,0
32,d4d6924b-1ee6-4751-83a1-0e5214b32e14,17 BALNAGOWAN AVENUE COLAC 3250,143.5725713,-38.32937232,0,0,0,0
33,abd5c849-450e-4deb-a17a-2bf6cda7a794,12/17 BALNAGOWAN AVENUE COLAC 3250,143.5725713,-38.32937232,0,0,0,0
34,bf79c271-4553-4f4a-9b29-e10965b95d0e,17 BALNAGOWAN AVENUE COLAC 3250,143.5725713,-38.32937232,0,0,0,0
35,5ae67aaa-da9d-47be-878a-afc65c181d0f,16 STODART STREET COLAC 3250,143.5723869,-38.32967993,0,0,0,0
36,ee2edaa7-3862-4213-a7d9-73ab660a2105,16 BALNAGOWAN AVENUE COLAC 3250,143.5733192,-38.32798736,0,0,0,0
37,5e375e90-f410-4423-ac8c-700cd5d55d4e,18A BALNAGOWAN AVENUE COLAC 3250,143.5728381,-38.32799461,0,0,0,0
38,c5950c9d-cf30-4f92-9103-62f02ac0060a,18 BALNAGOWAN AVENUE COLAC 3250,143.5728381,-38.32799461,0,0,0,0
39,d81e574e-49fc-46af-9441-1170f63dd2e4,18 BALNAGOWAN AVENUE COLAC 3250,143.5728381,-38.32799461,0,0,0,0
40,625d1769-5a31-474b-9e31-fdf17328b41b,20 BALNAGOWAN AVENUE COLAC 3250,143.5725966,-38.32796165,0,0,0,0
41,dc97c952-7db3-4014-b549-7cc7d883b2d8,22 BALNAGOWAN AVENUE COLAC 3250,143.5724166,-38.32794519,0,0,0,0
42,1b889f2c-1236-4c07-900f-92e96a5d5ad7,24 BALNAGOWAN AVENUE COLAC 3250,143.5721973,-38.32791948,0,0,0,0
43,d8b08829-9b4a-4ab8-9596-defad6e9682e,52 BALNAGOWAN AVENUE COLAC 3250,143.571626,-38.32874892,0,0,0,0
44,d9066d23-2e82-4188-b738-60f9cc07d823,60 BALNAGOWAN AVENUE COLAC 3250,143.5718556,-38.32821823,0,0,0,0
45,ff5e82ff-8d74-4514-8d4c-a50a4f42a9e8,54 BALNAGOWAN AVENUE COLAC 3250,143.5716091,-38.32856765,0,0,0,0
46,88b15469-d444-4ca1-beeb-902e892986e1,26 BALNAGOWAN AVENUE COLAC 3250,143.5719692,-38.32790235,0,0,0,0
47,fbec45da-c953-420f-ac0a-ab993d187186,50 BALNAGOWAN AVENUE COLAC 3250,143.5714157,-38.32884373,0,0,0,0
48,742f761a-b3cd-44dd-8b4d-61885a66c549,58 BALNAGOWAN AVENUE COLAC 3250,143.5716271,-38.32833393,0,0,0,0
49,a75eecd6-cab5-47a0-819c-810262c4d1a1,28 BALNAGOWAN AVENUE COLAC 3250,143.5717546,-38.32794498,0,0,0,0
50,1d845606-1796-4246-bd44-53e7f83c469c,56 BALNAGOWAN AVENUE COLAC 3250,143.5713824,-38.3284634,0,0,0,0
51,8a775185-d86a-4500-b07f-0cf05bb15975,30 BALNAGOWAN AVENUE COLAC 3250,143.5715602,-38.3280383,0,0,0,0
52,58e8940b-2e6b-47ea-b48b-8c129e3cc1ec,32 BALNAGOWAN AVENUE COLAC 3250,143.5713479,-38.32812901,0,0,0,0
