Transformer,Energy Consumers,,,,Transformer,Energy Consumers,,Transformer,Energy Consumers
"65 Sinclair St, Colac VIC 3250",95,,,,"65 Sinclair St, 
Colac VIC 3250",95,,"65 Sinclair St, 
Colac VIC 3250",95
"83 Sinclair St, Colac VIC 3250",141,,,,"83 Sinclair St, 
Colac VIC 3250",141,,"83 Sinclair St, 
Colac VIC 3250",141
"11-1 Wilson St, Colac VIC 3250",67,,,,"11-1 Wilson St, 
Colac VIC 3250",67,,"11-1 Wilson St, 
Colac VIC 3250",67
"80A Hart St, Colac VIC 3250",134,,,,"80A Hart St, 
Colac VIC 3250",134,,"80A Hart St, 
Colac VIC 3250",134
"193-177 Queen St, Colac VIC 3250",81,,,,"193-177 Queen St, 
Colac VIC 3250",81,,"193-177 Queen St, 
Colac VIC 3250",81
"68-102 Forest St, Colac East VIC 3250",15,,,,"68-102 Forest St, 
Colac East VIC 3250",15,,"68-102 Forest St, 
Colac East VIC 3250",15
"128-134 Wilson St, Colac VIC 3250",90,,,,"128-134 Wilson St, 
Colac VIC 3250",90,,"128-134 Wilson St, 
Colac VIC 3250",90
"223 Sinclair St, Colac VIC 3250",86,,,,"223 Sinclair St, 
Colac VIC 3250",86,,"223 Sinclair St, 
Colac VIC 3250",86
"94 Sinclair St, Colac VIC 3250",69,,,,"94 Sinclair St, 
Colac VIC 3250",69,,"94 Sinclair St, 
Colac VIC 3250",69
MILLER-FORBES Colac,86,,,,MILLER-FORBES Colac,86,,MILLER-FORBES Colac,86
"58 C154, Colac VIC 3250",84,,,,"58 C154, Colac 
VIC 3250",84,,"58 C154, Colac 
VIC 3250",84
"105-83 Bruce St, Colac VIC 3250",61,,,,"105-83 Bruce St, 
Colac VIC 3250",61,,"105-83 Bruce St, 
Colac VIC 3250",61
"162-188 Cants Rd, Elliminyt VIC 3250",25,,,,"162-188 Cants Rd, 
Elliminyt VIC 3250",25,,"162-188 Cants Rd, 
Elliminyt VIC 3250",25
"Bromfield St, Colac VIC 3250",52,,,,"Bromfield St, 
Colac VIC 3250",52,,"Bromfield St, 
Colac VIC 3250",52
"91-149 Forest St, Elliminyt VIC 3250",12,,,,"91-149 Forest St, 
Elliminyt VIC 3250",12,,"91-149 Forest St, 
Elliminyt VIC 3250",12
"8-14 McLeod St, Colac VIC 3250",179,,,,"8-14 McLeod St, 
Colac VIC 3250",179,,"8-14 McLeod St, 
Colac VIC 3250",179
"52 Bromfield St, Colac VIC 3250",84,,,,"52 Bromfield St, 
Colac VIC 3250",84,,"52 Bromfield St, 
Colac VIC 3250",84
"2-14 Wheal St, Colac VIC 3250",134,,,,"2-14 Wheal St, 
Colac VIC 3250",134,,"2-14 Wheal St, 
Colac VIC 3250",134
"35-39 Murray St, Colac VIC 3250",98,,,,"35-39 Murray St, 
Colac VIC 3250",98,,"35-39 Murray St, 
Colac VIC 3250",98
"19 Rae St, Colac VIC 3250",22,,,,"19 Rae St, 
Colac VIC 3250",22,,"19 Rae St, 
Colac VIC 3250",22
"30 Polwarth St, Colac VIC 3250",78,,,,"30 Polwarth St, 
Colac VIC 3250",78,,"30 Polwarth St, 
Colac VIC 3250",78
"36-42 Gellibrand St,  Colac VIC 3250",121,,,,"36-42 Gellibrand St,  
Colac VIC 3250",121,,"36-42 Gellibrand St,  
Colac VIC 3250",121
"30 Gravesend St, Colac VIC 3250",81,,,,"30 Gravesend St, 
Colac VIC 3250",81,,"30 Gravesend St, 
Colac VIC 3250",81
"106 Queen St, Colac VIC 3250",135,,,,"106 Queen St, 
Colac VIC 3250",135,,"106 Queen St, 
Colac VIC 3250",135
"145-131 Hearn St, Colac VIC 3250",58,,,,"145-131 Hearn St,
Colac VIC 3250",58,,"145-131 Hearn St,
Colac VIC 3250",58
"Rae St, Colac VIC 3250",73,,,,"Rae St, Colac 
VIC 3250",73,,"Rae St, Colac 
VIC 3250",73
"Wilson St, Colac VIC 3250",140,,,,"Wilson St, 
Colac VIC 3250",140,,"Wilson St, 
Colac VIC 3250",140
GRAVESEND-CENTRAL RES,8,,,,GRAVESEND-CENTRAL RES,8,,GRAVESEND-CENTRAL RES,8
"13 Connor St, Colac VIC 3250",52,,,,"13 Connor St, 
Colac VIC 3250",52,,"13 Connor St, 
Colac VIC 3250",52
"133-131 Hart St, Colac VIC 3250",96,,,,"133-131 Hart St, 
Colac VIC 3250",96,,"133-131 Hart St, 
Colac VIC 3250",96
"45 Corangamite St, Colac VIC 3250",81,,,,"45 Corangamite St, 
Colac VIC 3250",81,,"45 Corangamite St, 
Colac VIC 3250",81
"333 Murray St, Colac VIC 3250",178,,,,"333 Murray St, 
Colac VIC 3250",178,,"333 Murray St, 
Colac VIC 3250",178
"8 Rae St, Colac VIC 3250",34,,,,"8 Rae St, 
Colac VIC 3250",34,,"8 Rae St, 
Colac VIC 3250",34
"2-6 Leah St, Colac VIC 3250",96,,,,"2-6 Leah St, 
Colac VIC 3250",96,,"2-6 Leah St, 
Colac VIC 3250",96
"81 Jennings St, Colac VIC 3250",103,,,,"81 Jennings St, 
Colac VIC 3250",103,,"81 Jennings St, 
Colac VIC 3250",103
"91-95 Wallace St, Colac VIC 3250",54,,,,"91-95 Wallace St, 
Colac VIC 3250",54,,"91-95 Wallace St, 
Colac VIC 3250",54
"179 Armstrong St, Colac VIC 3250",84,,,,"179 Armstrong St, 
Colac VIC 3250",84,,"179 Armstrong St, 
Colac VIC 3250",84
"118-134 Hearn St, Colac VIC 3250",48,,,,"118-134 Hearn St, 
Colac VIC 3250",48,,"118-134 Hearn St, 
Colac VIC 3250",48
"75-51 Wilson St, Colac VIC 3250",106,,,,"75-51 Wilson St, 
Colac VIC 3250",106,,"75-51 Wilson St, 
Colac VIC 3250",106
"89 Hearn St, Colac VIC 3250",111,,,,"89 Hearn St, 
Colac VIC 3250",111,,"89 Hearn St, 
Colac VIC 3250",111
"1 Woods St, Colac VIC 3250",109,,,,"1 Woods St, 
Colac VIC 3250",109,,"1 Woods St, 
Colac VIC 3250",109
"62-68 Armstrong St, Colac VIC 3250",172,,,,"62-68 Armstrong St, 
Colac VIC 3250",172,,"62-68 Armstrong St, 
Colac VIC 3250",172
"51-45 Hesse St,  Colac VIC 3250",65,,,,"51-45 Hesse St,  
Colac VIC 3250",65,,"173 Queen St, 
Colac VIC 3250",13
"48 Queen St,  Colac VIC 3250",82,,,,"48 Queen St,  
Colac VIC 3250",82,,"153 Wilson St, 
Colac VIC 3250",104
