mrid,Connectivi,Conducting
ce465f8c-8a63-4272-be2d-7d8b94c89af7,75e3f5e2-228c-4a6b-98b2-72dfc70dedc1,88215958-48e4-40af-b479-289db7a8dd83
b9c1940b-1284-4475-bc1b-09e1d726f7f9,63e23afd-3dfe-4dd0-9a97-d5195d6d4db8,a4beeaca-b597-4145-834e-68779115300d
19314568-6fbd-4a7b-88d7-6092089fa4ab,7d7e410c-681b-4207-b0c5-3a716457fb50,457ece78-4532-47c2-bdc0-8513d4ac9727
06c6799e-ef23-47e7-a13d-e6abcb9a520e,23e079f5-23dc-432a-93ef-e409e7532188,4e55787f-4365-4130-9ab0-b24d769a9b55
c2eccf27-6c22-4477-942f-b3741db075b2,dcb04bc4-63bf-4ff2-b1a2-6ec7545dbe59,a69cc022-80f2-43dd-bd05-25a070aa353e
528f325c-5193-4e6b-bd7b-a39819aa886a,dfbdc6dc-65e9-44fc-8904-3a44cd1aeeb5,51fa641b-24fa-4a7e-9b0a-82341958a1bc
ad1e230c-b005-440a-8eb0-ba95fdcfa456,4df07f19-ee15-46ca-9644-72728f7df233,c9cfb84d-74e9-407e-a07e-cca57d2d4e8e
093250ce-adf8-4ed3-b7c7-3b681e3e3065,0632afe7-db30-415d-9301-ea1f5143ca64,d8abfe67-6cc5-4a67-93bd-102d382255b1
43520363-07e9-4194-b3a0-b7df5f6d63f2,d79486ed-5c84-4713-9198-3d0e04229f79,28e455e1-d979-42fc-a46a-ff839096edee
57650663-5583-4867-9948-0026991fec2d,32746b7a-1f27-4b5e-9cc0-2fb536b73cfb,3f7ef384-ed8e-43e7-a70e-6c40c80194b9
e037e5c0-a6f8-4397-a9db-5afc9c55e65c,f7e4be96-335a-4238-8ac8-9ad3eef5ceee,356d9111-9021-48da-bf78-73d7b144c356
96525821-bba3-4cfc-a616-0fa965f7daa1,fab24ddd-c204-4322-9ba4-e2b3f7aee242,fea75711-cca9-447e-8d76-cf35ed220e9b
20f1aa6d-e63c-4f41-ba39-3cdc3dce2856,5c2a8940-94a6-4f59-a06c-15ca32c6256e,f1117fec-e866-4480-ba85-9e6a18330271
0607d5da-6e96-46ba-a164-43e603cf60bd,2a41e76b-15e4-45a1-8810-e3da5e791e1d,4e8603a4-b0ad-4290-a54c-a9b5eba6dc6c
4b04f196-f27e-478a-aaf2-c38cd35df0fd,d1c0b475-0f47-4032-9fb5-cbcf5f719d89,5755c16c-ac02-49ce-87a6-b8eebaba86ad
5946b90e-f739-4756-81b4-ef9d86080518,0280d8de-20e2-45b2-9bac-d3f5b5362d69,3d41dc94-ce58-4660-b2d4-6bd3c3f73fc4
